Year,Constituency,Total Votes,Voter Turnout (%),PNM Votes (%),UNC Votes (%),COP Votes (%)
2007,TOCO/SANGRE GRANDE,16725,62.59122038845851,57.14200298953662,23.103139013452914,19.216741405082214
2007,TOTAL,655845,66.215734597922,45.80868955317186,29.72775579595789,22.618911480608986
2007,TUNAPUNA,16725,70.17580665463854,50.786248131539615,23.83258594917788,25.004484304932735
2010,ARIMA,15130,62.7410325523533,47.8916060806345,0.0,50.29742233972241
2010,AROUCA/MALONEY,17196,68.73176385946681,66.97487787857641,0.0,32.10048848569434
2010,BARATARIA/SAN JUAN,17768,69.96928408285422,37.94461954074741,61.62764520486268,0.0
2010,CARONI CENTRAL,18793,76.39120360960938,25.96711541531421,73.76682807428297,0.0
2010,CARONI EAST,18762,74.55296829055075,19.848630209998934,79.84756422556231,0.0
2010,CHAGUANAS EAST,17611,74.45567158499979,38.14093464312078,61.30827323831696,0.0
2010,CHAGUANAS WEST,20281,78.86836476764533,7.253094028894039,92.401755337508,0.0
2010,COUVA NORTH,21286,76.90028901734104,24.236587428356664,75.43455792539697,0.0
2010,COUVA SOUTH,19877,75.29166666666667,24.012677969512502,75.69049655380591,0.0
2010,CUMUTO/MANZANILLA,20527,76.3198988697204,34.98319286793004,63.89633166073951,0.0
2010,D'ABADIE/O'MEARA,18121,69.64525923363696,46.09017162408256,0.0,53.50146239170024
2010,DIEGO MARTIN CENTRAL,17265,62.8618241398143,52.36026643498407,0.0,46.6087460179554
2010,DIEGO MARTIN NORTH/EAST,16809,60.79863999710638,50.80016657742876,48.045689809030875,0.0
2010,DIEGO MARTIN WEST,17248,60.805189311147146,52.423469387755105,0.0,46.35899814471243
2010,FYZABAD,20245,78.46290985194946,36.04840701407755,63.66016300321067,0.0
2010,LA BREA,17098,71.0728686037328,56.61480874956135,41.618902795648616,0.0
2010,LA HORQUETTA/TALPARO,16483,68.7966943528528,46.308317660620034,52.85445610629132,0.0
2010,LAVENTILLE EAST/MORVANT,15038,54.83118208998761,71.79811145099082,0.0,24.803830296581992
2010,LAVENTILLE WEST,13494,49.2014876394662,79.51682229138876,0.0,20.19416036757077
2010,LOPINOT/BON AIR WEST,17559,71.82476377469628,46.97875733242212,0.0,52.690927729369555
2010,MAYARO,20305,76.81685771573412,36.09948288598867,63.26520561438069,0.0
2010,MORUGA/TABLELAND,20433,77.25141776937619,42.48519551705574,56.907943033328436,0.0
2010,NAPARIMA,19230,75.72654957864063,13.27613104524181,86.40145605824233,0.0
2010,OROPOUCHE EAST,20861,76.74846400058864,13.767317003019988,85.93547768563347,0.0
2010,OROPOUCHE WEST,17772,75.86118581124343,19.84019806437092,79.83344586990772,0.0
2010,POINT FORTIN,16888,68.63087739261185,51.80009474182852,0.0,47.92160113690194
2010,POINTE-A-PIERRE,17959,76.40827093260721,38.73266885684058,60.816303803107076,0.0
2010,PORT-OF-SPAIN NORTH/ST. ANN'S WEST,13344,57.631510754081376,60.61151079136691,38.36930455635492,0.0
2010,PORT-OF-SPAIN SOUTH,12700,53.56163805828519,59.36220472440945,0.0,37.5511811023622
2010,PRINCES TOWN,19272,76.29755730630666,26.20900788709008,73.41739310917393,0.0
2010,SAN FERNANDO EAST,15893,69.6664182702845,61.25967407034544,38.43830617252878,0.0
2010,SAN FERNANDO WEST,17148,72.80292094760975,45.83624912526243,0.0,53.13156053184045
2010,SIPARIA,19907,74.6783208913231,20.972522228361886,78.61556236499723,0.0
2010,ST. ANN'S EAST,16267,60.38233110616184,57.85332267781398,40.78809860453679,0.0
2010,ST. AUGUSTINE,19284,75.3811273551716,20.509230450114085,0.0,79.19000207425844
2010,ST. JOSEPH,18711,72.12350152256872,41.56913045801935,57.90711346266902,0.0
2010,TABAQUITE,19727,73.67693744164332,27.12019060171339,72.54017336645207,0.0
2010,TOBAGO EAST,13233,64.79142185663925,41.736567671729766,0.0,0.0
2010,TOBAGO WEST,14545,61.43870913238152,46.62770711584737,0.0,0.0
2010,TOCO/SANGRE GRANDE,18069,66.1916623928493,47.73368753113066,51.60772593945432,0.0
2010,TOTAL,726801,69.80255929559826,39.55112885095095,43.560754594448824,14.070564019587204
2010,TUNAPUNA,18662,74.08201341749037,43.666273711284965,0.0,55.97470796270496
2015,ARIMA,15761,61.67481901780474,69.0248080705539,0.0,29.046380305818158
2015,AROUCA/MALONEY,18250,69.33627141825919,81.33150684931508,0.0,18.394520547945206
2015,BARATARIA/SAN JUAN,16970,66.47342238238866,48.21449616971126,51.39658220388922,0.0
2015,CARONI CENTRAL,19731,70.75339764047764,36.521210278242364,62.5867923572044,0.0
2015,CARONI EAST,18863,68.33925077892906,27.01054975348566,71.7012140168584,0.0
2015,CHAGUANAS EAST,17942,70.39391086001255,43.80782521458031,51.74451008806153,0.0
2015,CHAGUANAS WEST,20179,72.83785734911926,10.852866841766193,86.7535556766936,0.0
2015,COUVA NORTH,20816,71.08318535719164,32.422175249807836,66.51133743274404,0.0
2015,COUVA SOUTH,20186,70.83055545808625,30.070345784206875,68.80511245417617,0.0
2015,CUMUTO/MANZANILLA,20004,71.05711849957375,41.401719656068785,57.293541291741654,0.0
2015,D'ABADIE/O'MEARA,19535,67.19292814639012,66.1837727156386,0.0,31.906833887893526
2015,DIEGO MARTIN CENTRAL,17334,59.05962521294719,76.48551978770047,0.0,0.0
2015,DIEGO MARTIN NORTH/EAST,17145,61.085972850678736,70.07874015748031,28.865558471857682,0.0
2015,DIEGO MARTIN WEST,17026,58.0121980305973,75.50217314695172,0.0,20.03406554681076
2015,FYZABAD,20150,74.56611035044222,40.26799007444169,59.136476426799014,0.0
2015,LA BREA,17487,69.40111918085486,66.09481328987248,32.795791159146795,0.0
2015,LA HORQUETTA/TALPARO,18196,69.90127156083132,57.309298746977355,41.800395691360734,0.0
2015,LAVENTILLE EAST/MORVANT,15799,56.80028761459644,86.47382745743401,0.0,0.0
2015,LAVENTILLE WEST,14673,55.47448015122873,89.17058542901928,0.0,0.0
2015,LOPINOT/BON AIR WEST,18414,69.31937961150429,62.38188334962529,0.0,34.354295644618226
2015,MAYARO,20679,74.01216893342878,42.72933894288892,56.724212969679385,0.0
2015,MORUGA/TABLELAND,21188,75.9072833446781,51.01000566358316,48.49443080989239,0.0
2015,NAPARIMA,18270,68.8732235081238,16.967706622879035,82.32074438970992,0.0
2015,OROPOUCHE EAST,19041,69.75236281046232,19.930675909878683,79.76997006459744,0.0
2015,OROPOUCHE WEST,17001,69.82503696402168,25.580848185400857,74.14269748838304,0.0
2015,POINT FORTIN,17936,70.32346598706137,60.286574487065124,39.41793041926851,0.0
2015,POINTE-A-PIERRE,18009,73.2728456343071,45.55500027763896,53.91748570159365,0.0
2015,PORT-OF-SPAIN NORTH/ST. ANN'S WEST,13273,55.02217800439415,82.46816846229187,16.71061553529722,0.0
2015,PORT-OF-SPAIN SOUTH,12353,51.95138363192867,79.68104913786125,0.0,18.772767748725006
2015,PRINCES TOWN,18736,70.77399614701771,32.10397096498719,67.61315115286081,0.0
2015,SAN FERNANDO EAST,17003,68.0964395850855,67.64688584367464,0.0,30.353467035229077
2015,SAN FERNANDO WEST,17116,69.88119054423713,59.079224117784534,39.740593596634724,0.0
2015,SIPARIA,19717,70.61962750716332,24.116244864837448,75.54901861337932,0.0
2015,ST. ANN'S EAST,17269,60.70160638335267,77.49145868318953,21.16509352018067,0.0
2015,ST. AUGUSTINE,19192,70.49662062885689,32.232180075031266,0.0,65.68361817423927
2015,ST. JOSEPH,19648,71.05196542870574,53.623778501628664,45.3125,0.0
2015,TABAQUITE,19598,69.45458411595847,34.31982855393407,65.33319726502704,0.0
2015,TOBAGO EAST,11494,52.29061462171876,69.1752218548808,0.0,0.0
2015,TOBAGO WEST,13455,51.45118733509235,78.84801189149016,0.0,0.0
2015,TOCO/SANGRE GRANDE,20400,67.6639357855982,58.84803921568628,39.71078431372549,0.0
2015,TOTAL,734792,66.84308533138538,51.50396302627138,39.47593332534922,5.986864309899945
2015,TUNAPUNA,18953,71.11819887429644,59.24128106368385,40.1677834643592,0.0
2020,ARIMA,13488,51.12576756879691,68.89827995255041,28.60320284697509,0.0
2020,AROUCA/MALONEY,15522,58.19367900123721,81.80002576987502,17.832753511145473,0.0
2020,BARATARIA/SAN JUAN,15771,61.38964577656676,45.90704457548666,52.628241709466735,0.0
2020,CARONI CENTRAL,18677,62.03540704819477,36.89029287358784,61.63195373989399,0.0
2020,CARONI EAST,17416,59.99104405635355,24.523426734037667,73.60473128158016,0.0
2020,CHAGUANAS EAST,17125,63.60732459235597,46.026277372262776,52.36788321167884,0.0
2020,CHAGUANAS WEST,17566,61.36593886462882,10.691107821928727,88.25002846407834,0.0
2020,COUVA NORTH,18238,61.07018483793196,28.632525496216694,69.2674635376686,0.5428226779252111
2020,COUVA SOUTH,18281,60.237906946092004,30.31562824790766,68.9076089929435,0.0
2020,CUMUTO/MANZANILLA,18702,61.38243402914533,40.4074430542188,58.287883648807615,0.0
2020,D'ABADIE/O'MEARA,17843,57.954397817331426,66.49106092024883,32.41046909152048,0.0
2020,DIEGO MARTIN CENTRAL,14347,48.45486169745685,74.0712344044051,18.770474663692756,0.0
2020,DIEGO MARTIN NORTH/EAST,13858,47.34055272776962,73.73358348968105,20.39976908644826,0.9597344494155
2020,DIEGO MARTIN WEST,13948,46.67068192464699,77.36593059936908,18.418411241755088,0.0
2020,FYZABAD,18045,65.74489015192917,38.17123857024106,60.127459129952896,0.0
2020,LA BREA,15571,59.87003998769609,59.99614668293623,36.83128893455783,0.0
2020,LA HORQUETTA/TALPARO,17678,64.21825050857309,54.943998189840485,44.066070822491234,0.0
2020,LAVENTILLE EAST/MORVANT,12568,47.17009458039333,82.39974538510502,15.634945894334818,0.0
2020,LAVENTILLE WEST,11171,43.66230213015439,83.34079312505594,11.852117088890877,0.42073225315549195
2020,LOPINOT/BON AIR WEST,17171,61.62431811656618,55.954807524314255,20.889872459379184,0.0
2020,MAYARO,18036,62.55115488659222,40.08094921268574,58.73253493013972,0.0
2020,MORUGA/TABLELAND,20125,69.293805736322,47.01614906832298,52.34285714285715,0.0
2020,NAPARIMA,16046,59.28471144609473,16.739374298890688,82.92409323195812,0.0
2020,OROPOUCHE EAST,17205,60.85741572636271,19.8546934030805,79.84306887532694,0.0
2020,OROPOUCHE WEST,15534,61.42591640634267,23.870220162224797,74.2564696794129,0.0
2020,POINT FORTIN,15696,60.362265892397026,59.09785932721713,36.70361875637105,0.0
2020,POINTE-A-PIERRE,16615,66.20576984379981,44.279265723743606,53.379476376767975,0.0
2020,PORT-OF-SPAIN NORTH/ST. ANN'S WEST,11685,46.734391872975245,81.08686350021395,14.591356439880187,0.0
2020,PORT-OF-SPAIN SOUTH,10480,42.33659206592874,78.26335877862596,17.65267175572519,0.0
2020,PRINCES TOWN,16229,59.71373905364633,29.009797276480377,69.50520672869554,0.0
2020,SAN FERNANDO EAST,14589,58.337332053742806,67.6125848241826,32.14065391733498,0.0
2020,SAN FERNANDO WEST,15515,61.97323746754544,54.508540122462136,42.86819207218821,0.0
2020,SIPARIA,17398,60.69846143111328,22.157719278077938,77.52040464421198,0.0
2020,ST. ANN'S EAST,14790,50.21389284986759,74.23258958755916,23.245436105476674,0.0
2020,ST. AUGUSTINE,17706,63.02413326688973,29.73003501637863,67.4517112843104,1.0617869648706653
2020,ST. JOSEPH,18193,63.94278082384367,51.41537954158193,46.957621063046226,0.0
2020,TABAQUITE,16920,58.684794672586015,30.786052009456267,67.61229314420804,0.0
2020,TOBAGO EAST,13112,56.756990736732746,54.35478950579622,0.0,0.0
2020,TOBAGO WEST,13883,50.144477353174885,66.80832673053375,0.0,0.0
2020,TOCO/SANGRE GRANDE,18237,58.64741445845125,58.66096397433789,40.09979711575369,0.0
2020,TOTAL,658297,58.043971837567845,48.95206874708528,46.96785797292104,0.07094062406482181
2020,TUNAPUNA,17317,63.12470382386177,54.62839983830917,43.50638101287752,0.0
